ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"496.67950"	"3.0e+07"	D	"3.84955423"	"6.3451195"	3	1		
"501.33144"	"3.5e+06"	D	"2.70791527"	"5.18032406"	7	9		
"503.25478"	"2.0e+06"	E	"4.4552365"	"6.9181964"	13	15		
"503.46575"	"1.7e+06"	E	"4.4490806"	"6.9110084"	11	13		
"504.50520"	"1.8e+06"	D	"4.4473700"	"6.9042255"	9	11		
"505.18974"	"5.41e+04"	B	"0.94143042"	"3.39495688"	5	5		
"507.292621"	"1.59e+05"	B	"0.94143042"	"3.38478638"	5	3		
"511.24846"	"5.7e+03"	D	"1.00367492"	"3.42812540"	7	9		
"512.346021"	"4.0e+04"	D	"1.03000806"	"3.44926489"	9	7		
"513.96456"	"1.3e+07"	D	"3.42162179"	"5.83326016"	7	7		
"517.74018"	"6.1e+06"	D	"3.42812540"	"5.82217714"	9	11		
"519.19951"	"1.4e+07"	D	"3.39495688"	"5.78227967"	5	7		
"519.34920"	"6.7e+06"	D	"3.42162179"	"5.80825650"	7	7		
"519.644629"	"1.2e+07"	D	"3.44884096"	"5.83411881"	11	11		
"520.01732"	"1.1e+07"	D	"3.38478638"	"5.76835475"	3	5		
"520.45110"	"5.09e+07"	B	"0.94143042"	"3.32301220"	5	3		
"520.603733"	"5.14e+07"	B	"0.94143042"	"3.32231395"	5	5		
"520.842555"	"5.06e+07"	B	"0.94143042"	"3.32122225"	5	7		
"521.413165"	"8.9e+06"	D	"3.36940787"	"5.74659540"	3	5		
"523.896175"	"4.01e+06"	B	"2.70878630"	"5.07470726"	5	3		
"524.145962"	"6.7e+05"	D	"2.70991379"	"5.07470726"	3	3		
"524.33539"	"2.19e+07"	B	"3.39495688"	"5.75889602"	5	3		
"524.756509"	"1.9e+06"	B	"0.96097009"	"3.32301220"	1	3		
"526.17509"	"1.3e+07"	D	"3.69779039"	"6.05346444"	7	9		
"526.415341"	"4.1e+06"	B	"0.96841324"	"3.32301220"	3	3		
"526.571497"	"8.5e+05"	B	"0.96841324"	"3.32231395"	3	5		
"527.20003"	"1.01e+07"	B	"3.44926489"	"5.80035930"	7	9		
"528.71780"	"4.22e+06"	B	"3.43793441"	"5.78227967"	5	7		
"529.33760"	"2.1e+06"	D	"3.37521461"	"5.71681492"	5	5		
"529.669109"	"3.1e+06"	B	"0.98287742"	"3.32301220"	5	3		
"529.737623"	"3.88e+07"	B	"2.89953685"	"5.23936898"	7	9		
"529.801460"	"3.0e+07"	D	"2.89953685"	"5.23908705"	7	7		
"529.827202"	"3.3e+06"	B	"0.98287742"	"3.32231395"	5	5		
"530.074563"	"2.5e+05"	B	"0.98287742"	"3.32122225"	5	7		
"530.41800"	"5.35e+06"	B	"3.46352849"	"5.80035930"	9	9		
"531.28560"	"9.26e+06"	B	"3.44926489"	"5.78227967"	7	7		
"531.87708"	"9.67e+06"	B	"3.43793441"	"5.76835475"	5	5		
"532.832346"	"6.2e+07"	D	"2.91348182"	"5.23972421"	9	11		
"532.913725"	"2.25e+07"	B	"2.91348182"	"5.23936898"	9	9		
"532.97833"	"5.38e+06"	B	"2.91348182"	"5.23908705"	9	7		
"534.04469"	"1.45e+07"	B	"3.43793441"	"5.75889602"	5	3		
"534.47572"	"4.1e+06"	D	"3.44926489"	"5.76835475"	7	5		
"534.579650"	"4.9e+06"	B	"1.00367492"	"3.32231395"	7	5		
"534.831470"	"1.7e+06"	B	"1.00367492"	"3.32122225"	7	7		
"540.059689"	"1.6e+07"	D	"3.37521461"	"5.67032643"	5	5		
"540.978408"	"6.2e+06"	B	"1.03000806"	"3.32122225"	9	7		
"544.24066"	"3.9e+06"	D	"3.42162179"	"5.6991023"	7	5		
"554.85867"	"1.9e+05"	D	"3.42162179"	"5.65551992"	7	9		
"556.65430"	"1.5e+05"	D	"3.43483025"	"5.66152243"	9	11		
"558.15895"	"1.9e+05"	E	"3.43483025"	"5.65551992"	9	9		
"558.79923"	"1.1e+05"	E	"3.44884096"	"5.66698616"	11	13		
"562.86426"	"3.95e+06"	B	"3.42162179"	"5.62374764"	7	9		
"564.23588"	"3.4e+06"	D	"3.85669178"	"6.05346444"	9	9		
"564.82612"	"4.2e+06"	D	"3.82599758"	"6.02047467"	5	5		
"564.93856"	"5.1e+06"	D	"3.83921781"	"6.03325810"	7	7		
"569.47407"	"1.4e+07"	D	"3.85669178"	"6.03325810"	9	7		
"570.23060"	"3.40e+06"	B	"3.44884096"	"5.62251964"	11	13		
"571.98168"	"4.96e+05"	B	"3.01329987"	"5.18032406"	7	9		
"578.30643"	"2.1e+07"	D	"3.32301220"	"5.46633655"	3	3		
"578.385010"	"2.02e+07"	B	"3.32231395"	"5.46534712"	5	5		
"578.496971"	"1.19e+07"	B	"3.32122225"	"5.46384067"	7	7		
"578.791876"	"2.35e+07"	B	"3.32231395"	"5.46384067"	5	7		
