ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"406.670"	"9.60e+04"	C	"12.3588649"	"15.40677"	3	3		
"406.671"	"6.43e+03"	D	"12.3588750"	"15.40677"	5	3		
"406.675"	"1.28e+05"	C	"12.3589072"	"15.40677"	1	3		
"406.774"	"1.74e+05"	C+	"12.3588649"	"15.40599"	3	5		
"406.775"	"5.84e+04"	C	"12.3588750"	"15.40599"	5	5		
"406.951"	"2.35e+05"	C+	"12.3588750"	"15.40468"	5	7		
"421.7088"	"5.44e+05"	C	"12.3588649"	"15.2980803"	3	1		
"422.2757"	"1.36e+05"	C	"12.3588649"	"15.2941343"	3	3		
"422.2771"	"2.26e+05"	C	"12.3588750"	"15.2941343"	5	3		
"422.2818"	"1.81e+05"	C	"12.3589072"	"15.2941343"	1	3		
"423.3260"	"1.35e+05"	C	"12.3588649"	"15.2868521"	3	5		
"423.3274"	"4.04e+05"	C+	"12.3588750"	"15.2868521"	5	5		
"436.8193"	"7.56e+05"	B	"9.5213638"	"12.3589072"	3	1		
"436.8242"	"7.59e+05"	B	"9.5213638"	"12.3588750"	3	5		
"436.8258"	"7.58e+05"	B	"9.5213638"	"12.3588649"	3	3		
"465.4117"	"4.30e+05"	C	"10.7402250"	"13.4034474"	3	1		
"465.4118"	"3.23e+05"	C+	"10.7402250"	"13.4034470"	3	3		
"465.4119"	"1.51e+05"	C+	"10.7402250"	"13.4034463"	3	5		
"465.4556"	"1.08e+05"	C	"10.7404756"	"13.4034470"	5	3		
"465.4557"	"2.51e+05"	C+	"10.7404756"	"13.4034463"	5	5		
"465.4559"	"2.87e+05"	C+	"10.7404756"	"13.4034453"	5	7		
"465.5354"	"2.87e+04"	C	"10.7409314"	"13.4034463"	7	5		
"465.5356"	"1.43e+05"	C+	"10.7409314"	"13.4034453"	7	7		
"465.5357"	"4.30e+05"	C+	"10.7409314"	"13.4034447"	7	9		
"477.2448"	"7.00e+05"	C+	"10.7402250"	"13.3374152"	3	1		
"477.2449"	"5.25e+05"	C+	"10.7402250"	"13.3374147"	3	3		
"477.2451"	"2.45e+05"	C+	"10.7402250"	"13.3374136"	3	5		
"477.2909"	"1.75e+05"	C+	"10.7404756"	"13.3374147"	5	3		
"477.2911"	"4.08e+05"	C+	"10.7404756"	"13.3374136"	5	5		
"477.2914"	"4.67e+05"	C+	"10.7404756"	"13.3374122"	5	7		
"477.3749"	"4.66e+04"	C	"10.7409314"	"13.3374136"	7	5		
"477.3752"	"2.33e+05"	C+	"10.7409314"	"13.3374122"	7	7		
"477.3753"	"7.00e+05"	C+	"10.7409314"	"13.3374112"	7	9		
"480.1667"	"2.62e+05"	C+	"10.7402250"	"13.3216106"	3	5		
"480.2134"	"4.37e+05"	C+	"10.7404756"	"13.3216106"	5	5		
"480.2982"	"6.11e+05"	C+	"10.7409314"	"13.3216106"	7	5		
"496.7376"	"1.27e+06"	C+	"10.7402250"	"13.2354984"	3	1		
"496.7378"	"9.50e+05"	C+	"10.7402250"	"13.2354975"	3	3		
"496.7381"	"4.43e+05"	C+	"10.7402250"	"13.2354959"	3	5		
"496.7877"	"3.16e+05"	C+	"10.7404756"	"13.2354975"	5	3		
"496.7880"	"7.38e+05"	C+	"10.7404756"	"13.2354959"	5	5		
"496.7884"	"8.44e+05"	C+	"10.7404756"	"13.2354940"	5	7		
"496.8788"	"8.43e+04"	C	"10.7409314"	"13.2354959"	7	5		
"496.8791"	"4.22e+05"	C+	"10.7409314"	"13.2354940"	7	7		
"496.8794"	"1.27e+06"	C+	"10.7409314"	"13.2354926"	7	9		
"501.8782"	"4.28e+05"	C+	"10.7402250"	"13.2099403"	3	5		
"501.9291"	"7.13e+05"	C+	"10.7404756"	"13.2099403"	5	5		
"502.0218"	"9.98e+05"	C+	"10.7409314"	"13.2099403"	7	5		
"513.114"	"7.48e+04"	C	"10.9887923"	"13.40443"	3	5		
"513.114"	"4.16e+04"	C	"10.9887923"	"13.40443"	3	3		
"513.129"	"2.77e+03"	D	"10.9888616"	"13.40443"	5	3		
"513.129"	"9.98e+04"	C+	"10.9888616"	"13.40443"	5	7		
"513.129"	"2.49e+04"	C	"10.9888616"	"13.40443"	5	5		
"513.133"	"5.54e+04"	C	"10.9888811"	"13.40443"	1	3		
"527.4967"	"1.32e+05"	C+	"10.9887923"	"13.3385644"	3	5		
"527.4967"	"7.34e+04"	C	"10.9887923"	"13.3385644"	3	3		
"527.5123"	"4.89e+03"	D	"10.9888616"	"13.3385644"	5	3		
"527.5123"	"1.76e+05"	C+	"10.9888616"	"13.3385644"	5	7		
"527.5123"	"4.40e+04"	C	"10.9888616"	"13.3385644"	5	5		
"527.5166"	"9.78e+04"	C	"10.9888811"	"13.3385644"	1	3		
"529.8887"	"3.58e+05"	C+	"10.9887923"	"13.3279572"	3	3		
"529.9044"	"5.96e+05"	C+	"10.9888616"	"13.3279572"	5	3		
"529.9088"	"1.19e+05"	C	"10.9888811"	"13.3279572"	1	3		
"532.9096"	"2.71e+06"	C+	"10.7402250"	"13.0661304"	3	1		
"532.9099"	"2.03e+06"	C+	"10.7402250"	"13.0661288"	3	3		
"532.9107"	"9.48e+05"	C+	"10.7402250"	"13.0661255"	3	5		
"532.9673"	"6.77e+05"	C+	"10.7404756"	"13.0661288"	5	3		
"532.9681"	"1.58e+06"	C+	"10.7404756"	"13.0661255"	5	5		
"532.9690"	"1.81e+06"	C+	"10.7404756"	"13.0661215"	5	7		
"533.0726"	"1.80e+05"	C+	"10.7409314"	"13.0661255"	7	5		
"533.0735"	"9.02e+05"	C+	"10.7409314"	"13.0661215"	7	7		
"533.0741"	"2.71e+06"	C+	"10.7409314"	"13.0661186"	7	9		
"543.5178"	"7.74e+05"	C+	"10.7402250"	"13.0207346"	3	5		
"543.5775"	"1.29e+06"	C+	"10.7404756"	"13.0207346"	5	5		
"543.6862"	"1.80e+06"	C+	"10.7409314"	"13.0207346"	7	5		
"551.2602"	"2.69e+05"	C+	"10.9887923"	"13.2372725"	3	5		
"551.2602"	"1.49e+05"	C+	"10.9887923"	"13.2372725"	3	3		
"551.2772"	"9.95e+03"	D	"10.9888616"	"13.2372725"	5	3		
"551.2772"	"3.58e+05"	C+	"10.9888616"	"13.2372725"	5	7		
"551.2772"	"8.95e+04"	C+	"10.9888616"	"13.2372725"	5	5		
"551.2820"	"1.99e+05"	C+	"10.9888811"	"13.2372725"	1	3		
"555.4832"	"5.83e+05"	C+	"10.9887923"	"13.2201789"	3	3		
"555.5004"	"9.71e+05"	C+	"10.9888616"	"13.2201789"	5	3		
"555.5053"	"1.94e+05"	C+	"10.9888811"	"13.2201789"	1	3		
"595.8386"	"3.78e+05"	C+	"10.9887923"	"13.0690514"	3	3		
"595.8386"	"6.80e+05"	C+	"10.9887923"	"13.0690514"	3	5		
"595.8584"	"2.27e+05"	C+	"10.9888616"	"13.0690514"	5	5		
"595.8584"	"2.52e+04"	C	"10.9888616"	"13.0690514"	5	3		
"595.8584"	"9.06e+05"	C+	"10.9888616"	"13.0690514"	5	7		
"595.8640"	"5.04e+05"	C+	"10.9888811"	"13.0690514"	1	3		
"604.6233"	"1.05e+06"	C+	"10.9887923"	"13.0388270"	3	3		
"604.6438"	"1.75e+06"	C+	"10.9888616"	"13.0388270"	5	3		
"604.6495"	"3.50e+05"	C+	"10.9888811"	"13.0388270"	1	3		
"614.0582"	"9.62e+02"	C	"10.7404756"	"12.7590123"	5	7		
"615.5961"	"7.62e+06"	B+	"10.7402250"	"12.7537188"	3	1		
"615.5971"	"5.72e+06"	B+	"10.7402250"	"12.7537158"	3	3		
"615.5989"	"2.67e+06"	B+	"10.7402250"	"12.7537097"	3	5		
"615.6737"	"1.91e+06"	B+	"10.7404756"	"12.7537158"	5	3		
"615.6755"	"4.45e+06"	B+	"10.7404756"	"12.7537097"	5	5		
"615.6778"	"5.08e+06"	B+	"10.7404756"	"12.7537024"	5	7		
"615.8149"	"5.07e+05"	B+	"10.7409314"	"12.7537097"	7	5		
"615.8172"	"2.54e+06"	B+	"10.7409314"	"12.7537024"	7	7		
"615.8187"	"7.62e+06"	B+	"10.7409314"	"12.7536973"	7	9		
"632.3385"	"1.81e+04"	C	"12.0870184"	"14.0472014"	3	3		
"632.3413"	"6.02e+03"	D	"12.0870271"	"14.0472014"	5	3		
"632.4772"	"3.61e+03"	D	"12.0870184"	"14.0467717"	3	5		
"632.4800"	"1.68e+04"	C	"12.0870271"	"14.0467717"	5	5		
"632.4815"	"2.68e+03"	D	"12.0870271"	"14.0467669"	5	7		
"632.4836"	"3.76e+03"	D	"12.0870382"	"14.0467717"	7	5		
"632.4851"	"2.14e+04"	C	"12.0870382"	"14.0467669"	7	7		
"645.3602"	"1.65e+06"	C+	"10.7402250"	"12.6608569"	3	5		
"645.4444"	"2.75e+06"	C+	"10.7404756"	"12.6608569"	5	5		
"645.5977"	"3.85e+06"	C+	"10.7409314"	"12.6608569"	7	5		
"672.6284"	"1.18e+03"	C	"9.1460911"	"10.9888616"	5	5		
"672.6537"	"6.44e+02"	C	"9.1460911"	"10.9887923"	5	3		
"700.1899"	"1.47e+06"	B	"10.9887923"	"12.7590265"	3	3		
"700.1922"	"2.65e+06"	B	"10.9887923"	"12.7590208"	3	5		
"700.2173"	"9.83e+04"	B	"10.9888616"	"12.7590265"	5	3		
"700.2196"	"8.83e+05"	B	"10.9888616"	"12.7590208"	5	5		
"700.2230"	"3.53e+06"	B	"10.9888616"	"12.7590123"	5	7		
"700.2250"	"1.96e+06"	B	"10.9888811"	"12.7590265"	1	3		
"701.7300"	"3.22e+04"	C	"12.3588649"	"14.1252140"	3	1		
"702.0327"	"8.05e+03"	C	"12.3588649"	"14.1244523"	3	3		
"702.0367"	"1.34e+04"	C	"12.3588750"	"14.1244523"	5	3		
"702.0495"	"1.07e+04"	C	"12.3589072"	"14.1244523"	1	3		
"702.5475"	"8.03e+03"	C	"12.3588649"	"14.1231587"	3	5		
"702.5515"	"2.41e+04"	C	"12.3588750"	"14.1231587"	5	5		
"715.6701"	"5.05e+07"	B	"12.7284690"	"14.4604127"	5	5		
"725.4154"	"2.24e+06"	C+	"10.9887923"	"12.6974691"	3	3		
"725.4448"	"3.73e+06"	C+	"10.9888616"	"12.6974691"	5	3		
"725.4531"	"7.45e+05"	C+	"10.9888811"	"12.6974691"	1	3		
"777.1944"	"3.69e+07"	A	"9.1460911"	"10.7409314"	5	7		
"777.4166"	"3.69e+07"	A	"9.1460911"	"10.7404756"	5	5		
"777.5388"	"3.69e+07"	A	"9.1460911"	"10.7402250"	5a	3		
"798.1942"	"2.33e+04"	C	"10.9887923"	"12.5416739"	3	3		
"798.2298"	"1.80e+03"	C	"10.9888616"	"12.5416739"	5	3		
"798.2398"	"3.09e+04"	C	"10.9888811"	"12.5416739"	1	3		
"798.6977"	"4.19e+04"	C	"10.9887923"	"12.5406949"	3	5		
"798.7334"	"1.41e+04"	C	"10.9888616"	"12.5406949"	5	5		
"799.5075"	"5.63e+04"	C	"10.9888616"	"12.5391924"	5	7		
"822.1798"	"5.08e+06"	C+	"12.5391924"	"14.0467717"	7	5		
"822.1824"	"2.89e+07"	C+	"12.5391924"	"14.0467669"	7	7		
"822.7653"	"8.13e+06"	C+	"12.5406949"	"14.0472014"	5	3		
"823.0001"	"2.26e+07"	C+	"12.5406949"	"14.0467717"	5	5		
"823.0026"	"3.62e+06"	C+	"12.5406949"	"14.0467669"	5	7		
"823.3003"	"2.43e+07"	C+	"12.5416739"	"14.0472014"	3	3		
"823.5354"	"4.86e+06"	C+	"12.5416739"	"14.0467717"	3	5		
"844.6247"	"3.22e+07"	B	"9.5213638"	"10.9888811"	3	1		
"844.6359"	"3.22e+07"	B	"9.5213638"	"10.9888616"	3	5		
