ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"330.0959"	"9.7e+05"	E	"3.372561"	"7.127486"	6	6		
"330.3296"	"1.9e+07"	E	"3.378321"	"7.130589"	4	4		
"330.6995"	"9.4e+06"	E	"3.382518"	"7.130589"	2	4		
"330.8777"	"4.9e+05"	E	"2.178214"	"5.924266"	4	4		
"331.1895"	"2.0e+06"	E	"2.178214"	"5.920740"	4	6		
"333.0694"	"7.4e+06"	E	"2.163713"	"5.885116"	6	4		
"333.4565"	"2.4e+06"	E	"3.378321"	"7.095405"	4	2		
"334.3724"	"8.6e+05"	E	"2.178214"	"5.885116"	4	4		
"335.0391"	"2.6e+05"	E	"4.320262"	"8.019788"	2	4		
"335.1667"	"8.0e+05"	C	"2.888419"	"6.586537"	8	8		
"335.5481"	"1.2e+07"	E	"4.320262"	"8.014175"	2	2		
"336.0668"	"2.2e+06"	E	"3.763442"	"7.451655"	8	6		
"336.4193"	"3.2e+06"	E	"3.772307"	"7.456655"	4	2		
"336.5129"	"4.2e+06"	E	"4.258101"	"7.941425"	10	12		
"337.6515"	"2.3e+06"	E	"4.344576"	"8.015479"	8	8		
"341.0797"	"1.5e+06"	E	"4.232682"	"7.866690"	14	12		
"341.8274"	"2.4e+06"	E	"3.763442"	"7.389502"	8	6		
"342.0787"	"1.2e+07"	E	"4.232682"	"7.856078"	14	14		
"342.8778"	"5.3e+06"	E	"3.770575"	"7.385527"	2	2		
"342.9153"	"5.1e+06"	E	"4.639518"	"8.254074"	12	12		
"342.9744"	"1.5e+06"	E	"4.639518"	"8.253452"	12	14		
"344.0029"	"2.9e+06"	E	"3.771551"	"7.374679"	6	6		
"344.6811"	"3.2e+06"	E	"4.258101"	"7.854140"	10	10		
"345.0598"	"1.1e+07"	E	"4.267942"	"7.860034"	8	8		
"345.1498"	"8.6e+06"	E	"3.771551"	"7.362707"	6	4		
"345.8830"	"9.3e+05"	E	"3.763442"	"7.346986"	8	10		
"346.3657"	"3.2e+07"	E	"4.678819"	"8.257369"	8	8		
"346.9994"	"2.4e+07"	E	"4.685354"	"8.257369"	6	8		
"348.8315"	"6.0e+04"	C	"2.142695"	"5.695949"	8	6		
"349.1551"	"1.2e+04"	C	"2.163713"	"5.713674"	6	4		
"349.4861"	"3.2e+06"	E	"4.685354"	"8.231954"	6	6		
"350.3739"	"3.6e+05"	C	"2.186728"	"5.724342"	2	2		
"350.5873"	"2.8e+04"	C	"2.178214"	"5.713674"	4	4		
"350.7534"	"5.9e+04"	E	"2.319170"	"5.852957"	10	10		
"350.9073"	"6.2e+04"	E	"2.163713"	"5.695949"	6	6		
"351.1185"	"2.9e+04"	C	"2.142695"	"5.672806"	8	8		
"351.1826"	"2.7e+07"	E	"4.639518"	"8.168985"	12	12		
"352.3538"	"2.8e+04"	C	"2.178214"	"5.695949"	4	6		
"353.5270"	"1.7e+07"	E	"4.665602"	"8.171665"	10	10		
"353.7974"	"4.0e+06"	E	"4.665602"	"8.168985"	10	12		
"355.9797"	"2.1e+07"	E	"4.685354"	"8.167261"	6	6		
"357.7868"	"9.4e+07"	D	"2.114215"	"5.578535"	10	8		
"358.3675"	"3.5e+06"	E	"2.919729"	"6.378435"	6	4		
"359.1799"	"2.2e+06"	E	"2.940846"	"6.391730"	4	2		
"359.5107"	"1.8e+07"	E	"2.163713"	"5.611422"	6	4		
"360.1264"	"2.3e+07"	E	"4.712478"	"8.154293"	12	10		
"360.7526"	"2.3e+07"	E	"2.142695"	"5.578535"	8	8		
"360.8481"	"3.6e+07"	E	"2.163713"	"5.598644"	6	6		
"361.0292"	"4.2e+07"	E	"2.178214"	"5.611422"	4	4		
"361.5307"	"1.3e+07"	E	"4.267942"	"7.696387"	8	6		
"362.3780"	"9.7e+06"	E	"2.178214"	"5.598644"	4	6		
"362.6288"	"1.6e+06"	E	"4.246523"	"7.664588"	12	12		
"362.9731"	"2.8e+06"	E	"2.163713"	"5.578535"	6	8		
"363.580"	"2.1e+07"	E	"4.726300"	"8.13542"	10	8		
"363.9144"	"3.9e+04"	C	"2.114215"	"5.520204"	10	8		
"364.3006"	"2.0e+06"	E	"4.258101"	"7.660480"	10	8		
"364.6693"	"5.1e+04"	C	"2.142695"	"5.541634"	8	6		
"364.8690"	"4.3e+06"	E	"4.639518"	"8.036597"	12	12		
"365.2326"	"7.4e+06"	E	"4.353703"	"7.747399"	6	6		
"365.3501"	"7.5e+04"	C	"2.163713"	"5.556318"	6	4		
"365.7897"	"5.5e+06"	E	"4.232682"	"7.621211"	14	12		
"366.0400"	"9.1e+07"	D	"4.639518"	"8.025730"	12	14		
"366.3341"	"5.0e+06"	E	"4.665602"	"8.049095"	10	8		
"366.7687"	"7.3e+06"	E	"4.665602"	"8.045087"	10	10		
"366.8198"	"1.0e+06"	E	"4.712478"	"8.091491"	12	10		
"366.8545"	"1.5e+06"	E	"4.678819"	"8.057512"	8	8		
"366.9185"	"1.0e+05"	C	"2.178214"	"5.556318"	4	4		
"366.9831"	"6.3e+05"	C	"2.142695"	"5.520204"	8	8		
"367.0502"	"5.9e+05"	C	"2.114215"	"5.491106"	10	10		
"367.5655"	"2.2e+07"	E	"4.685354"	"8.057512"	6	8		
"367.6923"	"7.3e+07"	D	"4.665602"	"8.036597"	10	12		
"367.8456"	"9.6e+04"	C	"2.186728"	"5.556318"	2	4		
"368.0133"	"1.9e+07"	E	"4.639518"	"8.007574"	12	10		
"368.2087"	"7.6e+07"	D	"4.678819"	"8.045087"	8	10		
"368.4853"	"2.6e+07"	E	"4.685354"	"8.049095"	6	8		
"368.5205"	"2.1e+05"	C	"2.178214"	"5.541634"	4	6		
"368.5545"	"2.4e+06"	E	"4.258101"	"7.621211"	10	12		
"369.2812"	"4.6e+05"	C	"2.163713"	"5.520204"	6	8		
"369.6540"	"7.86e+06"	C+	"2.888419"	"6.241526"	8	10		
"370.0309"	"9.5e+06"	E	"3.372561"	"6.722252"	6	4		
"370.1723"	"8.6e+05"	C	"2.142695"	"5.491106"	8	10		
"370.6078"	"1.4e+08"	D	"4.246523"	"7.591001"	12	14		
"370.6684"	"2.7e+06"	E	"3.378321"	"6.722252"	4	4		
"370.8856"	"5.2e+06"	E	"4.665602"	"8.007574"	10	10		
"370.993"	"6.8e+06"	E	"4.794419"	"8.13542"	8	8		
"371.0742"	"3.3e+06"	E	"3.771551"	"7.111824"	6	4		
"371.1583"	"3.1e+06"	E	"3.772307"	"7.111824"	4	4		
"371.3783"	"4.5e+06"	E	"4.353703"	"7.691241"	6	8		
"371.8121"	"2.5e+06"	E	"4.607780"	"7.941425"	14	12		
"371.8921"	"9.6e+07"	D	"4.258101"	"7.591028"	10	12		
"372.0906"	"2.5e+06"	E	"4.258101"	"7.589250"	10	10		
"372.6941"	"1.3e+06"	E	"2.919729"	"6.245485"	6	6		
"372.7979"	"3.3e+06"	E	"3.770575"	"7.095405"	2	2		
"372.8880"	"5.78e+06"	C+	"2.919729"	"6.243755"	6	8		
"372.9539"	"6.6e+06"	E	"4.331847"	"7.655285"	10	12		
"373.0999"	"3.5e+06"	E	"4.232682"	"7.554820"	14	12		
"373.1931"	"1.0e+08"	D	"4.267942"	"7.589250"	8	10		
"374.6610"	"1.6e+07"	E	"4.246523"	"7.554820"	12	12		
"375.0757"	"3.0e+06"	E	"2.940846"	"6.245485"	4	6		
"375.2552"	"1.2e+06"	E	"4.246523"	"7.549581"	12	14		
"375.4180"	"1.4e+07"	E	"3.852985"	"7.154611"	4	2		
"375.6639"	"1.4e+07"	E	"4.258101"	"7.557566"	10	10		
"376.3367"	"3.9e+06"	E	"2.953164"	"6.246729"	2	4		
"376.6050"	"4.5e+06"	E	"3.852985"	"7.144205"	4	4		
"376.7688"	"1.4e+07"	E	"4.267942"	"7.557731"	8	8		
"376.8175"	"7.1e+06"	E	"4.331847"	"7.621211"	10	12		
