ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"821.6336"	"2.26e+07"	B+	"10.3358956"	"11.8444770"	6	6		
"822.3128"	"2.62e+07"	B+	"10.3300944"	"11.8374298"	4	2		
"824.2389"	"1.31e+07"	B+	"10.3358956"	"11.8397086"	6	4		
"856.7735"	"4.86e+06"	B+	"10.6796703"	"12.1263787"	2	4		
"859.4000"	"2.09e+07"	B+	"10.6796703"	"12.1219574"	2	2		
"862.9235"	"2.67e+07"	B+	"10.6899808"	"12.1263787"	4	4		
"865.5748"	"5.46e+06"	C	"12.3566901"	"13.7886883"	6	4		
"865.5878"	"1.07e+07"	B+	"10.6899808"	"12.1219574"	4	2		
"865.6112"	"6.06e+05"	C	"12.3567502"	"13.7886883"	4	4		
"866.439"	"1.63e+05"	C	"11.6026335"	"13.0332041"	2	4		
"866.6935"	"6.04e+06"	C	"12.3567502"	"13.7869000"	4	2		
"868.0282"	"2.53e+07"	B+	"10.3358956"	"11.7638464"	6	8		
"868.3403"	"1.88e+07"	B+	"10.3300944"	"11.7575319"	4	6		
"868.6149"	"1.15e+07"	B+	"10.3259087"	"11.7528949"	2	4		
"870.3247"	"2.16e+07"	B+	"10.3259087"	"11.7500916"	2	2		
"871.1703"	"1.29e+07"	B+	"10.3300944"	"11.7528949"	4	4		
"871.8837"	"6.54e+06"	B+	"10.3358956"	"11.7575319"	6	6		
"872.8901"	"3.75e+06"	B+	"10.3300944"	"11.7500916"	4	2		
"874.7369"	"9.65e+05"	B+	"10.3358956"	"11.7528949"	6	4		
"875.821"	"2.62e+04"	C	"11.6026335"	"13.017878"	2	4		
"876.735"	"1.22e+05"	C	"11.6026335"	"13.016403"	2	2		
"884.357"	"7.5e+04"	C	"11.6026335"	"13.004219"	2	2		
"886.424"	"9.8e+04"	C	"11.6026335"	"13.000950"	2	4		
"902.069"	"3.68e+05"	C	"11.6026335"	"12.9766983"	2	4		
"902.8922"	"3.20e+07"	C	"11.6026335"	"12.9754460"	2	2		
"904.5878"	"2.80e+07"	B	"12.3566901"	"13.7269294"	6	8		
"904.9492"	"1.88e+06"	B	"12.3566901"	"13.7263822"	6	6		
"904.9889"	"2.60e+07"	B	"12.3567502"	"13.7263822"	4	6		
"906.0475"	"3.21e+07"	C	"11.6026335"	"12.9706652"	2	4		
"918.7453"	"2.44e+07"	C+	"12.3566901"	"13.7058146"	6	6		
"918.7863"	"1.76e+06"	C+	"12.3567502"	"13.7058146"	4	6		
"920.7592"	"2.70e+06"	C+	"12.3566901"	"13.7028638"	6	4		
"920.8003"	"2.33e+07"	C+	"12.3567502"	"13.7028638"	4	4		
"936.121"	"9.51e+05"	C+	"13.7028638"	"15.02695"	4	6		
"938.212"	"1.36e+07"	C+	"13.7058146"	"15.02695"	6	6		
"938.6805"	"2.13e+07"	B	"10.6796703"	"12.0001429"	2	4		
"939.2793"	"2.51e+07"	B	"10.6899808"	"12.0096116"	4	6		
"939.5848"	"1.8e+04"	D	"11.6026335"	"12.9218353"	2	4		
"941.939"	"2.93e+04"	C+	"10.6796703"	"11.9955753"	2	4		
"946.0676"	"3.73e+06"	B	"10.6899808"	"12.0001429"	4	4		
"946.4169"	"3.50e+05"	C	"11.6026335"	"12.9123120"	2	2		
"949.377"	"4.06e+02"	C+	"10.6899808"	"11.9955753"	4	4		
"953.049"	"1.31e+04"	C+	"13.7263822"	"15.02695"	6	6		
"953.450"	"2.89e+05"	C+	"13.7269294"	"15.02695"	8	6		
"965.898"	"8.7e+03"	C	"11.7528949"	"13.0361586"	4	6		
"966.012"	"2.49e+04"	C	"11.7500916"	"13.0332041"	2	4		
"968.127"	"8.1e+04"	C	"11.7528949"	"13.0332041"	4	4		
"969.401"	"6.3e+04"	C	"11.7575319"	"13.0361586"	6	6		
"970.845"	"3.18e+03"	B+	"10.3259087"	"11.6026335"	2	2		
"971.646"	"1.34e+04"	C	"11.7575319"	"13.0332041"	6	4		
"974.038"	"9.03e+03"	B+	"10.3300944"	"11.6026335"	4	2		
"974.212"	"4.91e+01"	C	"11.7638464"	"13.0361586"	8	6		
"977.690"	"1.40e+06"	B	"11.7500916"	"13.017878"	2	4		
"978.678"	"1.18e+06"	B	"11.7528949"	"13.019401"	4	6		
"978.829"	"3.83e+06"	B	"11.7500916"	"13.016403"	2	2		
"979.856"	"3.33e+06"	B	"11.7528949"	"13.017878"	4	4		
"981.001"	"5.42e+06"	B	"11.7528949"	"13.016403"	4	2		
"981.4021"	"7.00e+05"	B	"11.7575319"	"13.0205230"	6	8		
"982.275"	"5.74e+06"	B	"11.7575319"	"13.019401"	6	6		
"983.461"	"4.50e+06"	B	"11.7575319"	"13.017878"	6	4		
"986.3334"	"1.03e+07"	B	"11.7638464"	"13.0205230"	8	8		
"987.215"	"2.97e+06"	B	"11.7638464"	"13.019401"	8	6		
"988.338"	"1.83e+06"	B	"11.7500916"	"13.004219"	2	2		
"990.552"	"1.83e+05"	C	"11.7528949"	"13.004219"	4	2		
"990.922"	"4.07e+05"	B	"11.7500916"	"13.000950"	2	4		
"991.240"	"1.3e+04"	D	"11.6026335"	"12.853090"	2	4		
"993.147"	"2.02e+06"	B	"11.7528949"	"13.000950"	4	4		
"994.7066"	"6.1e+05"	C	"11.7575319"	"13.0036301"	6	8		
"995.648"	"9.1e+03"	D	"11.6026335"	"12.847554"	2	2		
"996.5747"	"3.48e+05"	B	"11.7528949"	"12.9966572"	4	6		
"996.851"	"2.23e+05"	C	"11.7575319"	"13.000950"	6	4		
"998.0422"	"4.86e+05"	C	"11.7528949"	"12.9948285"	4	6		
"999.7729"	"4.85e+05"	C	"11.7638464"	"13.0036301"	8	8		
