
 4.00000000000000E+0002	 2.50213843543102E-0007
 4.00050005000500E+0002	 2.67316200943040E-0007
 4.00100010001000E+0002	 2.83585698258027E-0007
 4.00150015001500E+0002	 2.87603565490829E-0007
 4.00200020002000E+0002	 2.77758357982527E-0007
 4.00250025002500E+0002	 2.62037150357572E-0007
 4.00300030003000E+0002	 2.48070690584653E-0007
 4.00350035003500E+0002	 2.40403175943034E-0007
 4.00400040004000E+0002	 2.41514128578866E-0007
 4.00450045004500E+0002	 2.49436868875853E-0007
 4.00500050005001E+0002	 2.58023813414715E-0007
 4.00550055005501E+0002	 2.61985629584478E-0007
 4.00600060006001E+0002	 2.59686100328837E-0007
 4.00650065006501E+0002	 2.52493723442338E-0007
 4.00700070007001E+0002	 2.43479073940727E-0007
 4.00750075007501E+0002	 2.34949903274307E-0007
 4.00800080008001E+0002	 2.26973474644407E-0007
 4.00850085008501E+0002	 2.21019561901183E-0007
 4.00900090009001E+0002	 2.21934665137672E-0007
 4.00950095009501E+0002	 2.30467821354214E-0007
 4.01000100010001E+0002	 2.38407507543415E-0007
 4.01050105010501E+0002	 2.37649186230378E-0007
 4.01100110011001E+0002	 2.31597016319479E-0007
 4.01150115011501E+0002	 2.31144950983986E-0007
 4.01200120012001E+0002	 2.38667400720096E-0007
 4.01250125012501E+0002	 2.44128048649838E-0007
 4.01300130013001E+0002	 2.40033032023415E-0007
 4.01350135013501E+0002	 2.32185794468997E-0007
 4.01400140014001E+0002	 2.30466254179394E-0007
 4.01450145014501E+0002	 2.34746867801031E-0007
 4.01500150015002E+0002	 2.36593539888698E-0007
 4.01550155015502E+0002	 2.31017054715229E-0007
 4.01600160016002E+0002	 2.21639006941956E-0007
 4.01650165016502E+0002	 2.17020534814382E-0007
 4.01700170017002E+0002	 2.22390048545345E-0007
 4.01750175017502E+0002	 2.34051510572568E-0007
 4.01800180018002E+0002	 2.44019270096542E-0007
 4.01850185018502E+0002	 2.47693176858001E-0007
 4.01900190019002E+0002	 2.46284034785044E-0007
 4.01950195019502E+0002	 2.45411089107314E-0007
 4.02000200020002E+0002	 2.50460881222325E-0007
 4.02050205020502E+0002	 2.61679079684108E-0007
 4.02100210021002E+0002	 2.73280994111339E-0007
 4.02150215021502E+0002	 2.78464242255068E-0007
 4.02200220022002E+0002	 2.77491074474714E-0007
 4.02250225022502E+0002	 2.77823518495166E-0007
 4.02300230023002E+0002	 2.84208538383081E-0007
 4.02350235023502E+0002	 2.92740719768732E-0007
 4.02400240024002E+0002	 2.96316985196847E-0007
 4.02450245024502E+0002	 2.92399758860144E-0007
 4.02500250025002E+0002	 2.82621231027802E-0007
 4.02550255025503E+0002	 2.68959675721571E-0007
 4.02600260026003E+0002	 2.56410027889963E-0007
 4.02650265026503E+0002	 2.54289014222048E-0007
 4.02700270027003E+0002	 2.67906473045904E-0007
 4.02750275027503E+0002	 2.92425160410166E-0007
 4.02800280028003E+0002	 3.17128969962145E-0007
 4.02850285028503E+0002	 3.34331118789773E-0007
 4.02900290029003E+0002	 3.44934203649610E-0007
 4.02950295029503E+0002	 3.54031656942006E-0007
 4.03000300030003E+0002	 3.61329592902773E-0007
 4.03050305030503E+0002	 3.61281903480836E-0007
 4.03100310031003E+0002	 3.51986898085106E-0007
 4.03150315031503E+0002	 3.38576963405225E-0007
 4.03200320032003E+0002	 3.29997362838657E-0007
 4.03250325032503E+0002	 3.31342169093264E-0007
 4.03300330033003E+0002	 3.36605573742855E-0007
 4.03350335033503E+0002	 3.37959642832471E-0007
 4.03400340034003E+0002	 3.38940622703096E-0007
 4.03450345034503E+0002	 3.45217942000494E-0007
 4.03500350035003E+0002	 3.53427727728074E-0007
 4.03550355035504E+0002	 3.59590230207508E-0007
 4.03600360036004E+0002	 3.63445475751519E-0007
 4.03650365036504E+0002	 3.62538710739380E-0007
 4.03700370037004E+0002	 3.58037911003468E-0007
 4.03750375037504E+0002	 3.60314347745325E-0007
 4.03800380038004E+0002	 3.74197841141645E-0007
 4.03850385038504E+0002	 3.87671819641130E-0007
 4.03900390039004E+0002	 3.87204915527148E-0007
 4.03950395039504E+0002	 3.76913601815036E-0007
 4.04000400040004E+0002	 3.70435960684900E-0007
 4.04050405040504E+0002	 3.69793960174020E-0007
 4.04100410041004E+0002	 3.68439746230618E-0007
 4.04150415041504E+0002	 3.70554084734530E-0007
 4.04200420042004E+0002	 3.86730934243082E-0007
 4.04250425042504E+0002	 4.11765798517978E-0007
 4.04300430043004E+0002	 4.27782508091812E-0007
 4.04350435043504E+0002	 4.30208559832756E-0007
 4.04400440044004E+0002	 4.31552959523622E-0007
 4.04450445044504E+0002	 4.37479532177096E-0007
 4.04500450045005E+0002	 4.36878898069336E-0007
 4.04550455045505E+0002	 4.22374863174389E-0007
 4.04600460046005E+0002	 4.05445003300928E-0007
 4.04650465046505E+0002	 4.00079719178076E-0007
 4.04700470047005E+0002	 4.03317290800967E-0007
 4.04750475047505E+0002	 4.03493403205742E-0007
 4.04800480048005E+0002	 4.00123922612600E-0007
 4.04850485048505E+0002	 4.05144480057000E-0007
 4.04900490049005E+0002	 4.25953260240692E-0007
 4.04950495049505E+0002	 4.55442029676603E-0007
 4.05000500050005E+0002	 4.80207458786415E-0007
 4.05050505050505E+0002	 4.91873721053658E-0007
 4.05100510051005E+0002	 4.89860542383801E-0007
 4.05150515051505E+0002	 4.79739633833084E-0007
 4.05200520052005E+0002	 4.69450285581106E-0007
 4.05250525052505E+0002	 4.63736922864249E-0007
 4.05300530053005E+0002	 4.62799277505143E-0007
